2026-05-25 08:41:43.876 [INFO    ] [MainThread tid=7796] ======================================================================
2026-05-25 08:41:43.878 [INFO    ] [MainThread tid=7796] Logger initialised — log file: c:\Users\Automation_Meeserv\Desktop\FRESH\code\logs\threads.log
2026-05-25 08:41:43.878 [INFO    ] [MainThread tid=7796] Python 3.11.5 on win32
2026-05-25 08:41:43.879 [INFO    ] [MainThread tid=7796] ======================================================================
2026-05-25 08:41:43.881 [INFO    ] [ThreadWatchdog tid=13420] Watchdog started — checking every 2.0s
2026-05-25 08:41:43.882 [INFO    ] [MainThread tid=7796] thread_logger setup complete ✓
2026-05-25 08:41:43.883 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog: + thread appeared 'MainThread' (daemon=False)
2026-05-25 08:41:43.885 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog: + thread appeared 'ThreadWatchdog' (daemon=True)
2026-05-25 08:41:43.886 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 2 alive — ['MainThread', 'ThreadWatchdog']
2026-05-25 08:41:45.887 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 2 alive — ['MainThread', 'ThreadWatchdog']
2026-05-25 08:41:47.896 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 2 alive — ['MainThread', 'ThreadWatchdog']
2026-05-25 08:41:48.365 [INFO    ] [MainThread tid=7796] === GUI: App created (STOPPED by default) ===
2026-05-25 08:41:50.362 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog: + thread appeared 'DebugMonitor' (daemon=True)
2026-05-25 08:41:52.390 [INFO    ] [MainThread tid=7796] === GUI: window shown - default state is STOPPED, press Start to begin ===
2026-05-25 08:41:52.390 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:41:54.393 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:41:56.394 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:41:58.395 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:42:00.395 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:42:02.397 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:42:04.398 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:42:06.399 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
